Date,Open,High,Low,Close,Adj Close,Volume
2016-05-05,1137.000000,1176.199951,1135.000000,1162.650024,1137.559204,4663686
2016-05-06,1161.000000,1173.949951,1149.099976,1167.800049,1142.598145,2591447
2016-05-09,1168.099976,1207.000000,1168.099976,1203.599976,1177.625366,2462695
2016-05-10,1202.199951,1220.449951,1197.000000,1218.550049,1192.252930,2687851
2016-05-11,1207.500000,1221.500000,1200.199951,1203.800049,1177.821289,3080420
2016-05-12,1204.000000,1212.449951,1190.000000,1195.849976,1170.042725,1850802
2016-05-13,1192.000000,1203.099976,1158.650024,1166.000000,1140.837036,2819653
2016-05-16,1164.400024,1191.000000,1160.500000,1186.449951,1160.845581,2309079
2016-05-17,1197.500000,1230.000000,1191.250000,1217.849976,1191.567993,3760375
2016-05-18,1205.250000,1214.300049,1196.400024,1208.199951,1182.126221,4337073
